Rank,Player,Team,Position,Age,PassCompletions,PassAttempts,PassYards,PassTouchdowns,Interceptions,RushAttempts,RushYards,RushYardsPerAttempt,RushTouchdowns,PassTargets,Receptions,ReceivingYards,ReceivingYardsPerAttempt,ReceivingTouchdowns,Fumbles,FumblesLost,Touchdowns,PPR,PositionRank,OverallRank,ID
270,Kadarius Toney,KAN,WR,24,0,1,0,0,0,9,15,1.67,0,30,22,139,6.32,1,1,0,1,43.4,111,,ToneKa00
271,KhaDarel Hodge,ATL,WR,28,0,0,0,0,0,1,0,0,0,16,11,199,18.09,0,1,0,0,30.9,115,,HodgKh00
272,Juwan Johnson,NOR,TE,27,0,0,0,0,0,0,0,,0,32,18,142,7.89,1,0,0,1,38.2,44,,JohnJu02
273,Scott Miller,ATL,WR,26,0,0,0,0,0,0,0,,0,10,8,80,10,2,0,0,2,28,114,,MillSc01
274,Foster Moreau,NOR,TE,26,0,0,0,0,0,0,0,,0,14,13,143,11,1,0,0,1,33.3,43,,MoreFo00
275,Dorian Thompson-Robinson,CLE,QB,24,58,109,429,1,4,12,65,5.42,0,0,0,0,,0,2,0,0,19.7,46,,ThomDo02
276,P.J. Walker,CLE,QB,28,54,111,674,1,5,13,30,2.31,0,0,0,0,,0,4,2,0,20,45,,WalkPh00
277,Nick Chubb,CLE,RB,28,0,0,0,0,0,28,170,6.07,0,4,4,21,5.25,0,0,0,0,23.1,73,,ChubNi00
278,Kyle Juszczyk,SFO,FB,32,0,0,0,0,0,5,6,1.2,0,10,8,65,8.13,2,0,0,2,27.1,74,,JuszKy00
279,Kendre Miller,NOR,RB,21,0,0,0,0,0,28,83,2.96,0,10,9,111,12.33,0,0,0,0,28.4,72,,MillKe01
280,Derius Davis,LAC,WR,23,0,0,0,0,0,9,74,8.22,0,13,12,44,3.67,0,2,0,1,29.8,118,,DaviDe02
281,Greg Dortch,ARI,WR,25,0,0,0,0,0,0,0,,0,22,11,124,11.27,1,0,0,1,29.4,116,,DortGr01
282,Brevin Jordan,HOU,TE,23,0,0,0,0,0,0,0,,0,11,9,124,13.78,1,0,0,1,27.4,45,,JordBr00
283,Dawson Knox,BUF,TE,27,0,0,0,0,0,0,0,,0,28,15,102,6.8,1,0,0,1,33.2,46,,KnoxDa00
284,Luke Schoonmaker,DAL,TE,25,0,0,0,0,0,0,0,,0,14,7,61,8.71,2,0,0,2,25.1,47,,SchoLu00
285,Durham Smythe,MIA,TE,28,0,0,0,0,0,0,0,,0,25,18,178,9.89,0,0,0,0,35.8,48,,SmytDu00
286,Deven Thompkins,TAM,WR,24,0,0,0,0,0,7,57,8.14,0,22,15,82,5.47,1,3,1,1,32.9,117,,ThomDe07
287,Jamaal Williams,NOR,RB,28,0,0,0,0,0,52,147,2.83,0,10,9,34,3.78,0,1,0,0,27.1,75,,WillJa06
